city,city_ibge_code,confirmed,confirmed_per_100k_inhabitants,date,death_rate,deaths,estimated_population,estimated_population_2019,is_last,order_for_place,place_type,state
Mata Grande,2705002,707,2804.77645,2022-02-21,0.0339,24,25207.0,25216.0,True,627,city,AL
Matriz de Camaragibe,2705101,1673,6791.42648,2022-02-21,0.0269,45,24634.0,24642.0,True,652,city,AL
Messias,2705200,1743,9666.68515,2022-02-21,0.0166,29,18031.0,17856.0,True,644,city,AL
Minador do Negrão,2705309,353,6632.8448,2022-02-21,0.0283,10,5322.0,5329.0,True,626,city,AL
Monteirópolis,2705408,292,4075.36636,2022-02-21,0.0479,14,7165.0,7159.0,True,634,city,AL
Murici,2705507,1187,4189.46105,2022-02-21,0.0421,50,28333.0,28236.0,True,659,city,AL
Novo Lino,2705606,366,2867.43967,2022-02-21,0.0355,13,12764.0,12690.0,True,648,city,AL
Olho d'Água das Flores,2705705,1892,8703.65259,2022-02-21,0.0222,42,21738.0,21688.0,True,653,city,AL
Olho d'Água do Casado,2705804,195,2065.45917,2022-02-21,0.0308,6,9441.0,9373.0,True,629,city,AL
Olho d'Água Grande,2705903,235,4582.68331,2022-02-21,0.0383,9,5128.0,5123.0,True,625,city,AL
Olivença,2706000,533,4572.35996,2022-02-21,0.0319,17,11657.0,11624.0,True,639,city,AL
Ouro Branco,2706109,847,7342.86953,2022-02-21,0.013,11,11535.0,11496.0,True,626,city,AL
Palestina,2706208,534,10601.54854,2022-02-21,0.0075,4,5037.0,5011.0,True,650,city,AL
Palmeira dos Índios,2706307,6088,8301.40311,2022-02-21,0.0266,162,73337.0,73218.0,True,672,city,AL
Pão de Açúcar,2706406,1343,5515.17391,2022-02-21,0.0231,31,24351.0,24399.0,True,630,city,AL
Pariconha,2706422,928,8805.38951,2022-02-21,0.0108,10,10539.0,10533.0,True,619,city,AL
Paripueira,2706448,509,3817.88179,2022-02-21,0.0511,26,13332.0,13176.0,True,655,city,AL
Passo de Camaragibe,2706505,917,6009.96199,2022-02-21,0.0251,23,15258.0,15245.0,True,638,city,AL
Paulo Jacinto,2706604,521,6891.53439,2022-02-21,0.0269,14,7560.0,7564.0,True,649,city,AL
Penedo,2706703,4790,7502.42772,2022-02-21,0.0184,88,63846.0,63683.0,True,650,city,AL
Piaçabuçu,2706802,1103,6179.96414,2022-02-21,0.0209,23,17848.0,17827.0,True,654,city,AL
Pilar,2706901,4694,13330.68272,2022-02-21,0.0128,60,35212.0,35111.0,True,658,city,AL
Pindoba,2707008,229,7882.96041,2022-02-21,0.0087,2,2905.0,2908.0,True,639,city,AL
Piranhas,2707107,1656,6575.86467,2022-02-21,0.0163,27,25183.0,25039.0,True,632,city,AL
